"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",38,58,48,50,"Pass",0.145199258858217,0.0268524374611726,5.86076411962637
"2",42,50,54,46,"Pass",0.105823835338426,0.0229150350514253,6.86233565512272
"3",32,70,46,78,"Pass",0.214978137435325,0.0172539910797796,2.54349097893912
"4",64,36,74,24,"Pass",0.317880624482472,0.0166301157195896,1.65792981647471
"5",56,38,66,62,"Pass",0.411222100005682,0.0163698232545528,1.26154420244769
"6",38,60,38,14,"Pass",0.215895422519382,0.0161700166247945,2.3735695416671
"7",34,56,42,16,"Pass",0.151935075285455,0.016150828126059,3.36877246299885
"8",46,22,42,12,"Pass",0.49628570904417,0.0156594933880681,0.999955944640397
"9",30,24,44,20,"Pass",0.364451964683817,0.0150041946597837,1.3046899663551
"10",22,72,42,74,"Pass",0.160041987354149,0.0149525505196568,2.9608490793952
"11",38,56,52,64,"Pass",0.126940914612346,0.0147704517843994,3.68745801793943
"12",42,60,40,26,"Pass",0.0775114239169934,0.014623152892565,5.97874779875081
"13",60,64,80,76,"Pass",0.116824627116155,0.0141598600568406,3.84113424763295
"14",56,62,66,70,"Pass",0.118943091613402,0.0141508610148442,3.77032311945531
"15",48,54,78,46,"Run",0.30998264321256,0.0140984280890857,1.44134599154584
"16",38,54,26,28,"Pass",0.248039270858812,0.0140842732969946,1.79948788040753
"17",54,38,52,18,"Pass",0.201120327687171,0.0140572371594557,2.21502652997069
"18",114,42,120,38,"Pass",0.468053080380217,0.0138609600618806,0.938497527302764
"19",78,46,74,38,"Pass",0.428683789747278,0.0137992447573066,1.02012451577731
"20",44,64,58,54,"Pass",0.152334982832668,0.0125590036799726,2.61270555144008
"21",114,42,0,0,"Shot",0.196636565732706,0.0114509448215638,1.84549116167606
"22",42,30,48,18,"Pass",0.18627151694027,0.0107370841466557,1.82673198748476
"23",44,58,44,44,"Pass",0.211816205818973,0.0104367332094803,1.56149402153376
"24",30,54,52,58,"Run",0.122745309565783,0.0103959949015431,2.68408386044715
